Thu Aug  8 15:38:42 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-61ecd1ed-ca57-4374-8096-1a8065606b25.prof
Thu Aug  8 15:38:57 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/submit_job-ef825944-5de2-4653-b556-c13b6c195fe2.prof
Thu Aug  8 15:38:57 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-3b72f3d8-b99a-4729-9259-6e8bc4b33556.prof
Thu Aug  8 15:39:13 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-9c01d5c1-79b5-40ea-8cd8-c3373f1200c8.prof
Thu Aug  8 15:38:54 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/put-d01e2b63-5305-42f0-a26b-26ca1ac913eb.prof
Thu Aug  8 15:38:54 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-abb38b28-55c7-4d28-96fe-63f9f7e1033d.prof
Thu Aug  8 15:38:41 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/mkdir-b3699aaa-bd5b-456c-8c52-eafe3f744f7f.prof
Thu Aug  8 15:39:10 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-0df1bb3d-759d-4451-9392-b2b38d12e9c3.prof
Thu Aug  8 15:38:41 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-34ab9388-a507-40a9-b22f-446abf87d892.prof
Thu Aug  8 15:38:43 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-1c42154c-208e-4184-b424-ac0609f55633.prof
Thu Aug  8 15:38:42 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/mkdir-65722d38-675b-44db-8a9f-49b0cf46799c.prof
Thu Aug  8 15:38:43 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/mkdir-479b2569-5de4-4574-91bd-9dba81d0e781.prof
Thu Aug  8 15:38:57 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-0ad0186e-7202-4a28-bbe3-09f28f9cb750.prof
Thu Aug  8 15:38:44 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/getcwd-5a9898ab-4823-41ac-b205-b12d89425ec7.prof
Thu Aug  8 15:38:55 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-ad3b26ec-c131-4bdf-a1b2-a9a26c49b6bc.prof
Thu Aug  8 15:38:50 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/put-bf923c2e-9827-498d-b24f-9ccb320d6351.prof
Thu Aug  8 15:38:44 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-1ac2f357-1e35-4065-9e44-fa0b382c41eb.prof
Thu Aug  8 15:39:16 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get-5f929ac9-2eea-479b-8da1-4563221656b3.prof
Thu Aug  8 15:39:19 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get-a2350ea9-d181-4afa-930f-3c25667ed24f.prof
Thu Aug  8 15:39:00 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-094509ef-018e-470b-b3b8-aa2096f1eec1.prof
Thu Aug  8 15:38:39 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-9ece8070-4ce8-43f7-826e-eb3363eb461f.prof
Thu Aug  8 15:39:12 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-b629031c-7891-48ea-a6dc-a629f356cb83.prof
Thu Aug  8 15:39:00 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get_jobs-a9b0651e-791a-455d-8f77-da7ef4973778.prof
Thu Aug  8 15:39:12 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get_jobs-63ea04f7-15c9-42ba-88a8-3d5f22a16a8b.prof
Thu Aug  8 15:38:52 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/put-18beb918-8ab9-43bd-8da3-d107bb98143b.prof
Thu Aug  8 15:39:22 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-7a37b8f5-6ebe-4257-bd23-d735c4c2ec84.prof
Thu Aug  8 15:39:22 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get-5aa8c7b5-aeb3-488e-a430-bd0e752cd418.prof
Thu Aug  8 15:39:12 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-aecf1da8-7716-48ea-8645-f8f944514a60.prof

         392039 function calls (391391 primitive calls) in 31.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63   26.080    0.414   26.080    0.414 {method 'read' of '_ssl._SSLSocket' objects}
        6    4.001    0.667    4.001    0.667 {built-in method time.sleep}
        8    0.295    0.037    0.295    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        8    0.137    0.017    0.137    0.017 {method 'connect' of '_socket.socket' objects}
        8    0.110    0.014    0.110    0.014 {built-in method _socket.getaddrinfo}
        8    0.099    0.012    0.099    0.012 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    16422    0.027    0.000    0.069    0.000 <frozen os>:674(__getitem__)
      364    0.022    0.000    0.032    0.000 url.py:227(_encode_invalid_chars)
    17501    0.022    0.000    0.120    0.000 <frozen _collections_abc>:859(__iter__)
       76    0.019    0.000    0.025    0.000 __init__.py:1415(_clear_cache)
    31784    0.018    0.000    0.032    0.000 <frozen os>:760(decode)
      116    0.017    0.000    0.134    0.001 request.py:2499(getproxies_environment)
    16422    0.017    0.000    0.026    0.000 <frozen os>:756(encode)
    46568    0.016    0.000    0.016    0.000 {method 'decode' of 'bytes' objects}
    16008    0.013    0.000    0.028    0.000 <frozen os>:697(__iter__)
50033/49793    0.012    0.000    0.016    0.000 {built-in method builtins.isinstance}
19884/19868    0.008    0.000    0.008    0.000 {method 'encode' of 'str' objects}
     2406    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
    23157    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
        4    0.006    0.001    0.007    0.002 connection.py:263(close)
       58    0.006    0.000    0.031    0.001 connection.py:312(request)
      588    0.005    0.000    0.010    0.000 parse.py:374(urlparse)
      320    0.004    0.000    0.007    0.000 pathlib.py:56(parse_parts)
       58    0.004    0.000    0.011    0.000 feedparser.py:469(_parse_headers)
      174    0.004    0.000    0.039    0.000 url.py:369(parse_url)
       72    0.004    0.000    0.004    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      410    0.004    0.000    0.011    0.000 <frozen _collections_abc>:941(update)
      317    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     1357    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa7a840}
      116    0.004    0.000    0.024    0.000 feedparser.py:216(_parsegen)
      417    0.004    0.000    0.007    0.000 client.py:1259(putheader)
       44    0.003    0.000   21.076    0.479 BasicClient.py:177(_get_request)
      232    0.003    0.000    0.004    0.000 message.py:525(get_all)
      878    0.003    0.000    0.004    0.000 _policybase.py:293(header_source_parse)
      190    0.003    0.000    0.006    0.000 url.py:303(_normalize_host)
       58    0.003    0.000   26.958    0.465 sessions.py:673(send)
     1943    0.003    0.000    0.003    0.000 structures.py:46(__setitem__)
       58    0.003    0.000    0.004    0.000 client.py:213(_read_headers)
       58    0.003    0.000   26.154    0.451 connection.py:428(getresponse)
      792    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1894    0.003    0.000    0.003    0.000 structures.py:51(__getitem__)
      464    0.003    0.000    0.005    0.000 message.py:490(get)
      874    0.003    0.000    0.003    0.000 parse.py:119(_coerce_args)
    15259    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
       58    0.002    0.000   26.872    0.463 connectionpool.py:595(urlopen)
       58    0.002    0.000   26.930    0.464 adapters.py:434(send)
       58    0.002    0.000    0.003    0.000 poolmanager.py:95(_default_key_normalizer)
       58    0.002    0.000    0.008    0.000 _collections.py:335(extend)
     1107    0.002    0.000    0.003    0.000 _collections.py:257(__getitem__)
      406    0.002    0.000    0.012    0.000 sessions.py:61(merge_setting)
       58    0.002    0.000   26.127    0.450 client.py:318(begin)
      252    0.002    0.000    0.004    0.000 __init__.py:1734(isEnabledFor)
       58    0.002    0.000   26.841    0.463 connectionpool.py:380(_make_request)
      878    0.002    0.000    0.003    0.000 _collections.py:300(add)
5302/5217    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     1234    0.002    0.000    0.004    0.000 _policybase.py:281(_sanitize_header)
      424    0.002    0.000    0.005    0.000 utils.py:340(to_key_val_list)
    12722    0.002    0.000    0.002    0.000 {method 'clear' of 'dict' objects}
       58    0.002    0.000    0.005    0.000 client.py:1103(putrequest)
      655    0.002    0.000    0.005    0.000 <frozen _collections_abc>:771(get)
      364    0.002    0.000    0.003    0.000 {method 'subn' of 're.Pattern' objects}
       58    0.002    0.000    0.070    0.001 sessions.py:459(prepare_request)
       58    0.002    0.000    0.009    0.000 models.py:484(prepare_headers)
     1052    0.002    0.000    0.002    0.000 feedparser.py:77(readline)
       54    0.002    0.000    0.499    0.009 Authorization.py:64(get_access_token)
       58    0.002    0.000    0.008    0.000 utils.py:199(get_netrc_auth)
       58    0.002    0.000   26.085    0.450 client.py:285(_read_status)
      417    0.002    0.000    0.010    0.000 connection.py:298(putheader)
